tconst,averageRating,numVotes
tt0182508,6.8,3068
tt0183056,6.6,960
tt0183113,5.2,88
tt0183142,2.5,244
tt0183280,3.3,386
tt0183423,3.6,117
tt0183488,6.4,60
tt0183505,6.6,234384
tt0183523,5.6,72959
tt0183550,6.4,567
tt0183639,4.4,163
tt0183649,7.1,264593
tt0183659,7.0,28091
tt0183790,6.9,183657
tt0183808,4.8,578
tt0183869,6.5,55107
tt0184009,6.0,34
tt0184384,6.7,126
tt0184457,4.5,173
tt0184719,6.8,293
tt0184791,6.1,21155
tt0184858,5.8,39738
tt0184894,6.6,125731
tt0184907,5.1,12543
tt0185007,5.0,358
tt0185014,7.2,63961
tt0185183,2.5,79737
tt0185431,5.3,104072
tt0186029,4.8,77
tt0186045,5.7,14489
tt0186151,7.4,106931
tt0186183,6.1,3556
tt0186202,5.5,898
tt0186221,7.8,18
tt0186454,3.7,450
tt0186549,5.4,409
tt0186566,6.5,80194
tt0186589,5.7,14227
tt0186719,4.0,206
tt0186785,7.7,31
tt0186894,5.8,20821
tt0186975,4.9,15070
tt0187078,6.5,274203
tt0187387,5.0,137
tt0187393,7.2,269642
tt0187512,5.0,5602
tt0187559,5.9,841
tt0187696,6.0,13123
tt0187738,6.7,213626
tt0187750,4.7,363
tt0187761,5.0,115
tt0187847,6.6,43
tt0188045,5.4,291
tt0188055,5.3,2243
tt0188128,6.6,1292
tt0188160,6.1,865
tt0188453,6.0,25433
tt0188490,6.6,84
tt0188518,5.8,845
tt0188575,5.4,79
tt0188688,4.5,153
tt0189192,5.7,19132
tt0189456,4.2,3466
tt0189541,4.9,1587
tt0189998,6.9,41700
tt0190052,4.1,127
tt0190138,6.7,119701
tt0190332,7.9,265043
tt0190374,3.6,33261
tt0190398,4.9,219
tt0190449,6.2,87
tt0190524,4.3,9655
tt0190590,7.7,305408
tt0190736,4.2,594
tt0190861,6.6,7807
tt0190865,5.9,61313
tt0190938,5.4,984
tt0190994,4.5,144
tt0191037,5.6,2269
tt0191074,5.2,3325
tt0191133,5.5,7146
tt0191177,5.2,87
tt0191211,5.3,51
tt0191242,5.1,612
tt0191397,6.6,63859
tt0191476,6.0,140
tt0191636,7.1,5543
tt0191754,6.0,48892
tt0191787,5.7,78
tt0191996,6.1,4072
tt0192023,6.3,2436
tt0192071,5.7,18923
tt0192110,7.8,39
tt0192111,5.4,14530
tt0192126,4.1,612
tt0192237,6.8,139
tt0192255,5.7,10444
tt0192295,5.7,612
tt0192346,6.7,62
tt0192455,4.7,3764
tt0192528,4.1,111
tt0192614,5.6,32186
tt0192719,4.7,673
tt0192731,4.3,17387
tt0192788,6.4,1233
tt0192789,6.6,24
tt0192912,4.1,116
tt0192947,7.5,50
tt0192949,5.6,1737
tt0193011,5.2,51
tt0193135,5.5,192
tt0193318,3.1,718
tt0193364,4.6,8441
tt0193365,7.2,28
tt0193537,3.8,107
tt0193545,5.7,191
tt0193560,5.2,6005
tt0193598,6.5,22
tt0193854,6.2,2304
tt0193859,4.4,89
tt0194104,7.0,2902
tt0194143,4.8,742
tt0194218,6.7,8455
tt0194368,6.0,4087
tt0194410,4.2,412
tt0194519,6.8,368
tt0195108,7.3,8
tt0195234,6.9,18434
tt0195308,4.3,364
tt0195393,4.8,116
tt0195551,6.4,65
tt0195631,4.9,349
tt0195685,7.4,193009
tt0195714,6.7,247702
tt0195778,5.1,8591
tt0195857,5.2,146
tt0195860,5.3,54
tt0195944,4.1,142
tt0195945,6.1,40054
tt0196068,4.7,225
tt0196069,7.7,7895
tt0196106,4.1,2542
tt0196158,3.5,7412
tt0196216,6.6,38608
tt0196219,2.2,1236
tt0196223,5.3,1190
tt0196229,6.5,260386
tt0196708,6.2,2550
tt0196723,5.6,1360
tt0197072,3.8,633
tt0197096,6.9,2735
tt0197299,3.6,113
tt0197384,5.8,3378
tt0197633,4.8,671
tt0197644,4.4,160
tt0197646,4.6,280
tt0197750,3.9,2307
tt0197753,5.6,524
tt0197862,7.5,79
tt0197929,6.3,26
tt0197951,4.0,476
tt0197996,5.0,438
tt0198013,8.8,17
tt0198021,6.7,33850
tt0198284,4.4,839
tt0198386,5.6,5992
tt0198460,5.7,281
tt0198748,7.5,78
tt0198781,8.1,879582
tt0198893,3.9,163
tt0198903,5.3,247
tt0199007,4.3,389
tt0199129,6.2,270
tt0199290,4.6,3476
tt0199314,5.9,6571
tt0199481,2.7,5285
tt0199504,5.3,65
tt0199602,6.6,33
tt0199626,5.3,24280
tt0199650,3.9,1018
tt0199725,7.2,21078
tt0199727,6.4,5403
tt0199744,5.0,391
tt0199753,5.7,57393
tt0199898,4.8,276
tt0199974,4.8,1083
tt0200027,6.5,28701
tt0200171,6.0,201
tt0200192,5.4,5647
tt0200422,4.8,794
tt0200427,6.9,1724
tt0200465,7.2,179928
tt0200472,5.6,2316
tt0200483,5.3,57
tt0200525,6.3,25
tt0200530,6.6,5603
tt0200550,5.7,112971
tt0200669,5.9,4450
tt0200720,7.0,7516
tt0200954,3.7,933
tt0201020,6.3,201
tt0201275,7.7,55
tt0201394,5.0,1524
tt0201479,3.9,652
tt0201485,5.3,8967
tt0201670,5.9,409
tt0201694,2.6,1068
tt0201726,4.5,332
tt0201737,4.6,184
tt0201844,2.4,4249
tt0201899,6.8,1556
tt0201901,5.5,317
tt0201934,4.7,73
tt0202236,4.7,914
tt0202294,7.2,68
tt0202314,3.1,1290
tt0202360,5.7,57
tt0202402,5.4,10854
tt0202452,4.1,47
tt0202458,2.0,179
tt0202470,6.3,43060
tt0202487,7.7,24
tt0202623,5.4,4758
tt0202641,7.2,1672
tt0202677,6.6,33304
tt0202695,5.3,77
tt0202711,6.4,920
tt0202829,7.2,14
tt0202856,6.4,189
tt0202989,4.5,663
tt0203009,7.6,279759
tt0203019,7.2,115229
tt0203047,6.3,84
tt0203053,5.5,859
tt0203078,5.5,41
tt0203119,7.3,60238
tt0203144,6.6,17
tt0203166,7.4,22688
tt0203206,8.2,10
tt0203230,7.5,29751
tt0203289,6.6,1628
tt0203297,5.1,543
tt0203536,4.6,591
tt0203540,6.8,6016
tt0203580,3.7,269
tt0203584,6.3,239
tt0203632,7.4,14508
tt0203755,6.2,30490
tt0203830,4.7,290
tt0203835,3.0,861
tt0203912,5.2,92
tt0203940,3.9,2994
tt0203952,4.2,144
tt0203975,4.7,3262
tt0204137,6.6,13682
tt0204175,5.4,16769
tt0204250,2.1,696
tt0204313,5.1,36631
tt0204322,5.1,971
tt0204350,4.9,1339
tt0204352,6.6,94
